stnm,stid,name,city,rang,cdir,cnty,nlat,elon,elev,cdiv,clas,WCR05,WCS05,A05,N05,BULK5,GRAV5,SAND5,SILT5,CLAY5,TEXT5,WCR10,WCS10,A10,N10,WCR25,WCS25,A25,N25,BULK25,GRAV25,SAND25,SILT25,CLAY25,TEXT25,WCR60,WCS60,A60,N60,BULK60,GRAV60,SAND60,SILT60,CLAY60,TEXT60,WCR75,WCS75,A75,N75,BULK75,GRAV75,SAND75,SILT75,CLAY75,TEXT75,datc,datd,,,,,,,,stid,name,city,nlat,elon,elev,LAT_A_Field ,LONG_A_Field ,LAT_B_Field ,LONG_B_Field ,Distance_A _field(km),Distance_B_ field(km),Rank_A,Rank_B,,,
136,WAL2,Walters,Walters,4,NW,Cotton,34.39957,-98.34569,323,Southwest,STANDARD,0.038,0.365,0.246,1.4,1.52,0,73.2,15.5,11.3,Sandy Loam,0.038,0.367,0.318,1.49,0.05,0.376,0.291,1.47,1.52,0,70.3,12.3,17.4,Sandy Loam,0.038,0.353,0.361,1.59,1.6,0,81.6,6.5,11.9,Sandy Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20120314,20991231,,,,,,,,WAL2,Walters,Walters,34.39957,-98.34569,323,35.56752,-98.5444,35.149586,-98.468069,131.1256884,84.14366295,44,16,,,
98,WALT,Walters,Walters,1,NW,Cotton,34.3647,-98.32025,308,Southwest,STANDARD,0.104,0.439,0.133,1.28,1.36,0.1,17.8,50.3,31.8,Silty Clay Loam,0.11,0.434,0.128,1.27,0.124,0.416,0.109,1.21,1.53,0,14.1,43.6,42.3,Silty Clay,0.105,0.365,0.048,1.21,1.71,0,21.2,39.1,39.7,Clay Loam,0.117,0.337,0.069,1.16,1.76,0.1,18.6,41,40.3,Silty Clay,19940101,20120313,,,,,,,,WALT,Walters,Walters,34.3647,-98.32025,308,35.56752,-98.5444,35.149586,-98.468069,135.2979781,88.31385279,49,21,,,
99,WASH,Washington,Washington,6,SSW,McClain,34.98224,-97.52109,345,Central,STANDARD,0.078,0.386,0.024,1.57,1.54,0,41.2,37.3,21.5,Loam,0.079,0.379,0.03,1.47,0.081,0.358,0.067,1.27,1.69,0.1,43.5,22.2,34.2,Clay Loam,0.082,0.283,0.109,1.23,1.95,0,40.7,37.9,21.5,Loam,0.063,0.309,0.032,1.37,1.87,0,27,52.9,20.1,Silt Loam,19940101,20991231,,,,,,,,WASH,Washington,Washington,34.98224,-97.52109,345,35.56752,-98.5444,35.149586,-98.468069,113.4220652,88.17207036,36,20,,,
100,WATO,Watonga,Watonga,7,W,Blaine,35.84185,-98.52615,517,West Central,STANDARD,0.056,0.368,0.083,1.39,1.5,0,33.7,43.9,22.5,Loam,0.058,0.372,0.083,1.39,0.063,0.382,0.083,1.37,1.47,0,28.3,45.1,26.7,Loam,0.067,0.392,0.144,1.35,1.43,0,28.1,42.9,29,Clay Loam,0.078,0.357,0.098,1.29,1.64,0.1,28.3,37.7,33.9,Clay Loam,19940101,20991231,,,,,,,,WATO,Watonga,Watonga,35.84185,-98.52615,517,35.56752,-98.5444,35.149586,-98.468069,30.5485816,77.15561507,3,13,,,
101,WAUR,Waurika,Waurika,0.5,ENE,Jefferson,34.16775,-97.98815,283,South Central,STANDARD,0.04,0.377,0.2,1.37,1.45,0,66.1,20.7,13.2,Sandy Loam,0.046,0.375,0.173,1.36,0.066,0.367,0.101,1.31,1.61,0,53.1,20.9,26,Sandy Clay Loam,0.047,0.347,0.194,1.37,1.61,0,62.2,22.7,15.1,Sandy Loam,0.04,0.312,0.152,1.34,1.77,0,68.5,19.5,12,Sandy Loam,19940101,20991231,,,,,,,,WAUR,Waurika,Waurika,34.16775,-97.98815,283,35.56752,-98.5444,35.149586,-98.468069,163.7105483,117.6685835,65,36,,,
102,WEAT,Weatherford,Weatherford,4,WSW,Custer,35.5083,-98.77509,538,West Central,STANDARD,0.063,0.444,0.059,1.48,1.19,0,23.7,61.1,15.3,Silt Loam,0.058,0.441,0.083,1.42,0.053,0.438,0.216,1.38,1.13,0,30.8,49.7,19.5,Loam,0.131,0.508,0.267,1.51,1.02,0,25,65.3,9.7,Silt Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231,,,,,,,,WEAT,Weatherford,Weatherford,35.5083,-98.77509,538,35.56752,-98.5444,35.149586,-98.468069,21.88751295,48.64905308,2,6,,,
144,WEB3,Webbers Falls,Webbers Falls,1.2,WNW,Muskogee,35.515148,-95.149933,146,East Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20210615,20991231,,,,,,,,WEB3,Webbers Falls,Webbers Falls,35.515148,-95.149933,146,35.56752,-98.5444,35.149586,-98.468069,307.1676718,303.7186201,122,121,,,
103,WEBB,Webbers Falls,Webbers Falls,3,S,Muskogee,35.47298,-95.13209,145,East Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20080416,,,,,,,,WEBB,Webbers Falls,Webbers Falls,35.47298,-95.13209,145,35.56752,-98.5444,35.149586,-98.468069,308.9866086,304.8123629,124,122,,,
132,WEBR,Webbers Falls,Webbers Falls,1.5,S,Muskogee,35.489,-95.1233,145,East Central,STANDARD,0.056,0.384,0.041,1.57,1.45,0,18.5,65.8,15.7,Silt Loam,0.057,0.384,0.052,1.5,0.062,0.384,0.106,1.37,1.45,0,12.2,64.6,23.2,Silt Loam,0.052,0.39,0.12,1.38,1.36,0,22.3,58.3,19.4,Silt Loam,0.044,0.366,0.148,1.39,1.43,0.1,28.5,57,14.4,Silt Loam,20080417,20210615,,,,,,,,WEBR,Webbers Falls,Webbers Falls,35.489,-95.1233,145,35.56752,-98.5444,35.149586,-98.468069,309.6953498,305.7890664,125,123,,,
104,WEST,Westville,Westville,5,WNW,Adair,36.011,-94.64496,348,East Central,STANDARD,0.043,0.425,0.066,1.53,1.1,0,18.8,67.9,13.3,Silt Loam,0.045,0.417,0.071,1.5,0.055,0.393,0.096,1.4,1.35,0,11.2,60.7,28.2,Silty Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231,,,,,,,,WEST,Westville,Westville,36.011,-94.64496,348,35.56752,-98.5444,35.149586,-98.468069,355.1379992,358.7366379,136,139,,,
105,WILB,Wilburton,Wilburton,2,SW,Latimer,34.90092,-95.34805,199,Southeast,STANDARD,0.055,0.386,0.043,1.54,1.42,0.1,33.1,51.7,15.1,Silt Loam,0.058,0.379,0.043,1.53,0.064,0.356,0.044,1.45,1.62,0,27.8,51.3,20.9,Silt Loam,0.124,0.495,0.156,1.22,1.29,0,17.6,19.8,62.6,Clay,0.141,0.472,0.189,1.21,1.37,0,8.7,27.4,63.9,Clay,19940101,20991231,,,,,,,,WILB,Wilburton,Wilburton,34.90092,-95.34805,199,35.56752,-98.5444,35.149586,-98.468069,299.602724,285.4312388,119,111,,,
106,WIST,Wister,Wister,3,ENE,LeFlore,34.98426,-94.68778,143,Southeast,STANDARD,0.072,0.388,0.029,1.59,1.51,0,17.5,61.8,20.8,Silt Loam,0.071,0.389,0.037,1.51,0.071,0.393,0.08,1.37,1.45,0,9.9,61.2,28.9,Silty Clay Loam,0.132,0.496,0.106,1.18,1.34,0,8.8,17.9,73.3,Clay,0.134,0.465,0.096,1.16,1.44,0,4.4,24.9,70.8,Clay,19940101,20991231,,,,,,,,WIST,Wister,Wister,34.98426,-94.68778,143,35.56752,-98.5444,35.149586,-98.468069,356.025131,344.5177769,137,135,,,
107,WOOD,Woodward,Woodward,2,WSW,Woodward,36.42329,-99.41682,625,North Central,STANDARD,0.057,0.4,0.126,1.36,1.37,0,35.3,36.2,28.6,Clay Loam,0.056,0.403,0.133,1.36,0.053,0.411,0.149,1.36,1.3,0,38.2,37,24.9,Loam,0.054,0.405,0.254,1.44,1.3,0,38.9,36.3,24.8,Loam,0.056,0.402,0.27,1.47,1.33,0,42.6,31.9,25.5,Loam,19940101,20991231,,,,,,,,WOOD,Woodward,Woodward,36.42329,-99.41682,625,35.56752,-98.5444,35.149586,-98.468069,123.3477264,165.4744734,40,65,,,
108,WYNO,Wynona,Wynona,2,S,Osage,36.51806,-96.34222,269,Northeast,STANDARD,0.08,0.494,0.075,1.39,1.05,0,25.4,48.3,26.3,Loam,0.085,0.481,0.081,1.36,0.101,0.435,0.108,1.27,1.41,0,34.2,37,28.8,Clay Loam,0.1,0.463,0.05,1.37,1.29,0,27.1,35.2,37.7,Clay Loam,0.134,0.389,0.079,1.23,1.69,0,9.8,37.2,53,Clay,19940101,20991231,,,,,,,,WYNO,Wynona,Wynona,36.51806,-96.34222,269,35.56752,-98.5444,35.149586,-98.468069,224.4336705,244.693858,90,98,,,
142,YUKO,Yukon,Yukon,2,N,Canadian,35.55671,-97.75538,407,Central,STANDARD,0.039,0.361,0.238,1.39,1.52,0,75.1,21.1,3.8,Loamy Sand,0.035,0.345,0.255,1.42,0.033,0.336,0.238,1.4,1.65,0,82.7,12.3,5,Loamy Sand,0.053,0.344,0.112,1.32,1.69,0,68.8,13.4,17.8,Sandy Loam,0.05,0.347,0.176,1.34,1.65,0,67.3,17.5,15.3,Sandy Loam,20180618,20991231,,,,,,,,YUKO,Yukon,Yukon,35.55671,-97.75538,407,35.56752,-98.5444,35.149586,-98.468069,71.38109721,78.91078263,12,14,,,
